GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
credit-card-app-ws,com.creditcard.app.ws.exceptions,AppExceptionsHandler,36,3,0,0,4,1,2,1,2,1
credit-card-app-ws,com.creditcard.app.ws.exceptions,UserServiceException,0,4,0,0,0,2,0,1,0,1
credit-card-app-ws,com.creditcard.app.ws.ui.controller,UserCreditCardController,0,76,2,4,0,20,2,5,0,4
credit-card-app-ws,com.creditcard.app.ws.ui.model.request,UserCreditCardDetailsRequestModel,0,31,0,0,0,13,0,9,0,9
credit-card-app-ws,com.creditcard.app.ws.io.entity,UserCreditCardEntity,0,45,0,0,0,19,0,13,0,13
credit-card-app-ws,com.creditcard.app.ws,CreditCardAppWsApplication,5,3,0,0,2,1,1,1,1,1
credit-card-app-ws,com.creditcard.app.ws.service.impl,UserServiceImpl,0,89,1,5,0,24,1,6,0,4
credit-card-app-ws,com.creditcard.app.ws.shared.dto,UserDto,4,48,0,0,2,20,1,14,1,14
credit-card-app-ws,com.creditcard.app.ws.validator,CreditCardValidator,2,57,5,7,0,11,5,6,0,5
credit-card-app-ws,com.creditcard.app.ws.shared,Utils,31,11,2,0,5,3,3,1,2,1
credit-card-app-ws,com.creditcard.app.ws.shared,LuhnCheckDigit,0,55,0,6,0,13,0,5,0,2
credit-card-app-ws,com.creditcard.app.ws.ui.model.response,ErrorMessages,4,70,0,0,2,10,1,3,1,3
credit-card-app-ws,com.creditcard.app.ws.ui.model.response,ErrorMessage,26,0,0,0,12,0,6,0,6,0
credit-card-app-ws,com.creditcard.app.ws.ui.model.response,UserCreditCardResponseModel,3,28,0,0,1,12,1,8,1,8
